,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
160,2019-08-01T21:00:00.000000000Z,47569,107.358,107.567,106.510,106.594,107.324,107.559,106.502,106.553,107.392,107.575,106.518,106.634
161,2019-08-02T21:00:00.000000000Z,1,106.588,106.588,106.588,106.588,106.543,106.543,106.543,106.543,106.632,106.632,106.632,106.632
162,2019-08-04T21:00:00.000000000Z,48597,106.580,106.683,105.788,105.953,106.544,106.676,105.781,105.938,106.615,106.693,105.795,105.968
163,2019-08-05T21:00:00.000000000Z,47231,105.956,107.092,105.523,106.462,105.935,107.079,105.514,106.444,105.977,107.129,105.532,106.479
164,2019-08-06T21:00:00.000000000Z,51780,106.466,106.472,105.496,106.269,106.445,106.455,105.488,106.255,106.487,106.502,105.503,106.283
165,2019-08-07T21:00:00.000000000Z,30808,106.266,106.304,105.893,106.071,106.245,106.297,105.886,106.052,106.287,106.311,105.900,106.090
166,2019-08-08T21:00:00.000000000Z,28007,106.046,106.078,105.270,105.687,105.996,106.071,105.262,105.637,106.096,106.103,105.276,105.737
167,2019-08-09T21:00:00.000000000Z,1,105.680,105.680,105.680,105.680,105.630,105.630,105.630,105.630,105.730,105.730,105.730,105.730
168,2019-08-11T21:00:00.000000000Z,20147,105.593,105.694,105.050,105.304,105.548,105.686,105.044,105.285,105.638,105.703,105.057,105.322
169,2019-08-12T21:00:00.000000000Z,42437,105.292,106.978,105.068,106.744,105.261,106.970,105.062,106.734,105.322,106.986,105.075,106.755
170,2019-08-13T21:00:00.000000000Z,38989,106.736,106.772,105.654,105.912,106.720,106.757,105.646,105.895,106.752,106.798,105.662,105.929
171,2019-08-14T21:00:00.000000000Z,54547,105.862,106.782,105.702,106.110,105.839,106.769,105.696,106.074,105.885,106.800,105.708,106.147
172,2019-08-15T21:00:00.000000000Z,22290,106.085,106.495,106.026,106.370,106.035,106.489,106.020,106.335,106.135,106.501,106.033,106.405
173,2019-08-16T21:00:00.000000000Z,1,106.364,106.364,106.364,106.364,106.339,106.339,106.339,106.339,106.390,106.390,106.390,106.390
