,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
285,2020-02-05T22:00:00.000000000Z,45243,1.09984,1.10140,1.09646,1.09816,1.09971,1.10134,1.09638,1.09802,1.09997,1.10147,1.09652,1.09831
286,2020-02-06T22:00:00.000000000Z,55337,1.09822,1.09850,1.09420,1.09463,1.09772,1.09844,1.09414,1.09433,1.09872,1.09878,1.09426,1.09493
287,2020-02-09T22:00:00.000000000Z,39485,1.09450,1.09576,1.09078,1.09107,1.09432,1.09569,1.09072,1.09097,1.09468,1.09582,1.09084,1.09117
288,2020-02-10T22:00:00.000000000Z,43638,1.09107,1.09249,1.08914,1.09153,1.09097,1.09243,1.08904,1.09146,1.09117,1.09255,1.08924,1.09160
289,2020-02-11T22:00:00.000000000Z,44921,1.09154,1.09256,1.08654,1.08734,1.09147,1.09251,1.08646,1.08719,1.09162,1.09264,1.08661,1.08748
290,2020-02-12T22:00:00.000000000Z,46598,1.08737,1.08889,1.08340,1.08400,1.08713,1.08883,1.08334,1.08388,1.08761,1.08895,1.08347,1.08413
291,2020-02-13T22:00:00.000000000Z,40667,1.08408,1.08612,1.08273,1.08310,1.08360,1.08606,1.08265,1.08292,1.08455,1.08619,1.08280,1.08327
292,2020-02-16T22:00:00.000000000Z,24244,1.08420,1.08511,1.08293,1.08351,1.08382,1.08505,1.08287,1.08312,1.08458,1.08517,1.08299,1.08390
293,2020-02-17T22:00:00.000000000Z,51028,1.08355,1.08375,1.07855,1.07916,1.08305,1.08367,1.07847,1.07905,1.08405,1.08406,1.07862,1.07927
294,2020-02-18T22:00:00.000000000Z,46917,1.07923,1.08118,1.07822,1.08064,1.07889,1.08112,1.07815,1.08047,1.07957,1.08124,1.07828,1.08080
295,2020-02-19T22:00:00.000000000Z,61577,1.08056,1.08212,1.07780,1.07848,1.08015,1.08207,1.07773,1.07830,1.08098,1.08218,1.07786,1.07866
296,2020-02-20T22:00:00.000000000Z,62556,1.07848,1.08636,1.07848,1.08474,1.07830,1.08630,1.07816,1.08459,1.07866,1.08642,1.07863,1.08488
297,2020-02-23T22:00:00.000000000Z,81578,1.08149,1.08721,1.08051,1.08542,1.08125,1.08715,1.08045,1.08515,1.08173,1.08727,1.08057,1.08570
298,2020-02-24T22:00:00.000000000Z,89605,1.08528,1.08904,1.08302,1.08813,1.08490,1.08897,1.08296,1.08799,1.08567,1.08911,1.08307,1.08827
299,2020-02-25T22:00:00.000000000Z,94587,1.08813,1.09090,1.08551,1.08804,1.08799,1.09083,1.08545,1.08794,1.08827,1.09097,1.08557,1.08814
300,2020-02-26T22:00:00.000000000Z,120016,1.08833,1.10066,1.08791,1.10010,1.08783,1.10058,1.08741,1.09996,1.08883,1.10073,1.08807,1.10024
301,2020-02-27T22:00:00.000000000Z,154999,1.09998,1.10532,1.09510,1.10277,1.09972,1.10525,1.09504,1.10227,1.10025,1.10538,1.09516,1.10327
302,2020-03-01T22:00:00.000000000Z,175716,1.10446,1.11848,1.10364,1.11327,1.10404,1.11841,1.10357,1.11315,1.10487,1.11855,1.10371,1.11339
303,2020-03-02T22:00:00.000000000Z,168508,1.11334,1.12139,1.10954,1.11728,1.11324,1.12128,1.10947,1.11692,1.11344,1.12150,1.10960,1.11764
304,2020-03-03T22:00:00.000000000Z,108592,1.11728,1.11876,1.10955,1.11356,1.11692,1.11870,1.10947,1.11321,1.11764,1.11883,1.10962,1.11391
305,2020-03-04T22:00:00.000000000Z,109486,1.11362,1.12450,1.11196,1.12362,1.11312,1.12444,1.11190,1.12355,1.11412,1.12457,1.11203,1.12370
306,2020-03-05T22:00:00.000000000Z,197876,1.12399,1.13548,1.12116,1.12839,1.12355,1.13541,1.12104,1.12796,1.12443,1.13555,1.12125,1.12882
307,2020-03-08T21:00:00.000000000Z,237991,1.13510,1.14963,1.13356,1.14400,1.13460,1.14918,1.13314,1.14350,1.13560,1.15013,1.13386,1.14450
308,2020-03-09T21:00:00.000000000Z,266055,1.14400,1.14584,1.12749,1.12808,1.14350,1.14574,1.12741,1.12779,1.14450,1.14617,1.12756,1.12838
309,2020-03-10T21:00:00.000000000Z,200209,1.12808,1.13667,1.12575,1.12697,1.12779,1.13660,1.12568,1.12681,1.12838,1.13674,1.12582,1.12713
310,2020-03-11T21:00:00.000000000Z,251527,1.12697,1.13338,1.10554,1.11858,1.12681,1.13330,1.10537,1.11842,1.12713,1.13347,1.10563,1.11873
311,2020-03-12T21:00:00.000000000Z,192719,1.11858,1.12213,1.10550,1.11054,1.11842,1.12203,1.10543,1.11004,1.11873,1.12223,1.10557,1.11104
312,2020-03-15T21:00:00.000000000Z,259307,1.10692,1.12367,1.10692,1.11827,1.10642,1.12358,1.10642,1.11790,1.10742,1.12378,1.10742,1.11864
